Ranking,Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption,Year,GDP_Growth,Inflation,Unemployment
89,Latvia,Central and Eastern Europe,5.098,6.58489,0.78134,65,0.44303,0.229,0.88527,2015,4.63645212679371,0.38688741781985,9.873
90,Philippines,Southeast Asia,5.073,4.17249,0.73822,60,0.93388,0.314,0.77753,2015,4.7872505574235,-0.719682789735927,3.068
92,Morocco,Middle East and North Africa,5.013,4.34681,0.45709,61,0.62251,0.09011,0.84516,2015,3.10634719191513,3.17293530967125,9.46
94,Mozambique,Sub-Saharan Africa,4.971,0.49149,0.73188,42,0.50821,0.2798,0.71729,2015,4.32231286612486,7.05995033545015,3.426
95,Albania,Central and Eastern Europe,4.959,5.19798,0.57361,68,0.53354,0.17933,0.88381,2015,3.81743447071763,0.771576290611591,17.193
96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,4.92324,0.65549,67,0.13804,0.31171,0.99589,2015,5.65603511201289,1.39548812387108,27.695
97,Lesotho,Sub-Saharan Africa,4.898,2.22106,0.74241,41,0.47433,0.20591,0.77345,2015,1.92251059472272,10.2030391854904,16.223
98,Dominican Republic,Latin America and Caribbean,4.885,5.29675,0.83583,63,0.86112,0.27245,0.74209,2015,5.76452490966611,2.38116064893268,7.605
100,Mongolia,East Asia,4.874,4.8993,0.92752,60,0.6514,0.41752,0.9517,2015,0.223539088154311,0.609769217723354,4.861
102,Greece,Western Europe,4.857,6.82708,0.66275,71,0.11495,0.0,0.97469,2015,0.431225575747547,-0.174753732642159,24.981
103,Lebanon,Middle East and North Africa,4.839,6.06739,0.57053,69,0.50641,0.27459,0.91698,2015,-1.48529943559267,3.33578444902192,9.312
104,Hungary,Central and Eastern Europe,4.8,6.63118,0.85731,66,0.47948,0.16083,0.95003,2015,4.03310873929586,2.81115788673696,6.813
105,Honduras,Latin America and Caribbean,4.788,3.52173,0.67998,64,0.59947,0.28933,0.87634,2015,1.88202222037501,6.9327703694637,6.147
106,Tajikistan,Commonwealth of Independent States,4.786,2.30991,0.61019,59,0.705,0.28866,0.72691,2015,3.34193519398252,6.86625094979701,7.033
107,Tunisia,Middle East and North Africa,4.739,5.21253,0.43095,65,0.39222,0.08081,0.8848,2015,-0.165402101671091,4.21370476436516,15.159
109,Bangladesh,South Asia,4.694,2.35166,0.30741,60,0.6095,0.26664,0.77226,2015,5.60449539732434,5.87277704102323,4.397
111,Ukraine,Commonwealth of Independent States,4.681,4.72705,0.85776,63,0.37512,0.19192,0.94635,2015,-9.27686663817931,38.8816797599977,9.14
112,Iraq,Middle East and North Africa,4.677,5.8299,0.58399,60,0.0,0.22518,0.75018,2015,-0.153622231589026,-28.7601353853759,10.865
113,South Africa,Sub-Saharan Africa,4.642,5.44536,0.84486,49,0.49582,0.15044,0.83903,2015,-0.694265293924985,5.54552812339873,25.149
114,Ghana,Sub-Saharan Africa,4.633,3.22748,0.48461,53,0.63222,0.29008,0.92109,2015,-0.208325820413904,13.2529666807363,6.806
115,Zimbabwe,Sub-Saharan Africa,4.61,1.60314,0.73651,51,0.38614,0.23857,0.85361,2015,0.425141539219794,0.607377582545297,5.399
116,Liberia,Sub-Saharan Africa,4.571,0.4212,0.56316,51,0.426,0.3061,0.88708,2015,-2.06002320038729,0.062713425558087,2.557
117,India,South Asia,4.565,3.81558,0.27223,57,0.59406,0.33265,0.84614,2015,6.71566734640226,2.27958810849833,7.629
118,Sudan,Sub-Saharan Africa,4.55,3.08252,0.72316,52,0.15053,0.2395,0.73437,2015,-1.14810293147822,14.0225574392301,14.39
119,Haiti,Latin America and Caribbean,4.518,1.57791,0.52988,53,0.3647,0.58032,0.6888,2015,-0.0454395053176881,5.20596329822199,13.785
121,Nepal,South Asia,4.514,2.12947,0.61651,59,0.57161,0.40578,0.89298,2015,3.4108030002933,4.40904543328786,10.643
122,Ethiopia,Sub-Saharan Africa,4.512,1.12829,0.43078,55,0.64877,0.30563,0.72736,2015,7.4680767605293,10.8365427851017,2.442
123,Sierra Leone,Sub-Saharan Africa,4.507,1.9536,0.68156,39,0.6098,0.26999,0.84081,2015,-6.55487587621558,3.61332477392402,4.483
124,Mauritania,Sub-Saharan Africa,4.436,2.68612,0.61978,52,0.36182,0.27516,0.68362,2015,2.25580164537985,-4.79390858192335,10.104
125,Kenya,Sub-Saharan Africa,4.419,2.15751,0.71227,54,0.63033,0.47171,0.89421,2015,2.65589352795405,9.23865468396285,2.762
