"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","8.81996229069382","15.1778796353778","11.7345572818695","8.64317843441597","11.5100019050635","5.41388116157681","4.20115727949533","7.85085132660812","8.32786636854932","9.32513579802401","12.7269772252185","5.12004519712879","2.09763423897181","3.10699169399872","2.93098407023224","2.31581033389783","3.58825349893796","3.04812389047835","3.41062587603929","2.53022449283509","2.68069567063766","2.01107899387343","1.53551541337367","2.06377797050716","1.27445123153045","-0.479330043859861","2.34864791991988","4.67849833132598","1.11767223101916","4.36932052926873","4.7383581938649","1.109636064732","1.60741690564493","1.13459175890502","2.55082056964062","-2.28757187039086","1.77707213641139","2.80180153658335","-0.475117518871471","0.31653179289151","1.44421842084309","0.712335041612306","0.781653570303064","4.91927458082348","6.78027470784266","4.91194084907252","6.18040953916392","",
"Australia","AUS","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","3.22083571669198","-0.0744447699706683","1.79064611647249","3.28049815181089","2.98334374511755","2.68694786678935","4.86118201297703","2.25480966219536","4.74974354281493","5.13307385938874","5.18548237066044","6.19192346173496","8.97920339219074","16.372712996926","16.4916465318592","14.0219588131671","11.4179153243185","8.2380425731523","8.63469105068195","10.0163743919369","9.52564716059261","11.7056487069934","10.1588373853176","7.86237717289235","4.68222720600157","6.54741952828913","7.03264088129119","7.17607798189694","9.22878312753963","6.10275272525965","3.0250728041124","1.47952540737002","0.867009464791877","1.02436773570732","2.29363374838722","2.71252593859086","1.26950238107841","1.13864487565532","0.481468519255969","2.55398372580686","4.6410705877846","2.84030561949049","2.98766102822479","3.23097888916325","3.82504038533557","5.11166391727404","4.98460606552011","4.56770652387168","4.99158692120147","1.16518778810975","6.19890348463792","1.79728622285839","-0.13127264372919","1.41703057182264","-0.627407934606055","-0.673417495929741","3.64623358006087","1.84617555303311","3.47660031414854","1.86583412216189","3.06066984761631","7.1995443407201","6.45944110641071","2.58838430384326","",
"Austria","AUT","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","5.08715371682055","3.34020321438608","3.67826612051925","3.18378821910466","5.32141544871368","3.12236608115528","3.24776256800889","2.8380319513882","2.7335728768378","4.74209753751789","6.2043731872716","7.59993232918492","8.04554332728978","9.50213882201638","6.457776038162","5.62491792598954","5.19871310605001","5.99301585188026","4.11437074998898","5.5806284791783","6.71666904622006","5.35528952975623","3.47278368657844","4.94977323362313","2.96299532966935","2.95099763334878","2.43694801180838","1.52685526836818","2.96476071992421","2.99968051452424","3.64187130431861","3.47909350597352","2.75708415524119","2.52494338617741","1.81391797405659","0.960435922758222","1.26254390282013","0.482062104538755","0.219322750162448","1.36731376651514","1.93728378622546","1.10421528982809","1.26700269317527","1.72796196359026","2.53196784657297","2.04461997957617","2.25927088756023","1.93379071320683","1.73939280154138","0.891338694909649","1.81993743804168","2.09166476490424","1.70872288191161","2.00674413208939","2.29263470154871","1.81475082333313","0.975317906732371","1.81047996133594","1.47368502823586","2.59313253599376","1.80187299270295","5.02343156333271","7.1747129124039","4.08681239792917","",
"Azerbaijan","AZE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5495126683364","1065.32923018531","747.12452012683","1386.06739767987","545.656352266205","26.4191629382316","9.24250444099582","-0.96513336719066","2.16214167529371","12.4927738128452","2.51501022581932","4.21438623360075","6.96146570847378","9.25196510735844","14.7234965182528","11.3291883280721","20.5824829861483","27.9710361142048","-18.8992282423298","13.8276658365282","24.6069496884519","2.84498268342621","0.413163922120958","-1.33020421239041","-8.80961556609952","14.6283389647903","16.226204549171","12.1844330031831","-0.221652784964604","-7.49363345867255","21.5888365787351","37.2707211293747","-9.32261504785629","-1.40817211826207","",
"Burundi","BDI","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.0774363431424","-3.56741645307069","4.68714930026979","5.4172175752595","-1.02936377839632","3.15203396174695","-5.31798617192774","3.05681315002275","5.36187983493693","5.18451180666659","1.38021894639897","4.29080997127038","5.51044247050103","12.4551776403177","21.0869057883016","8.0749482461168","14.3041256060103","12.5077052224577","26.1307076116281","16.3840243620867","-6.0633150865134","5.67202154795532","6.4285488030003","17.2161949890367","5.06883898015293","-4.25741423815771","-3.41779507858824","3.49122270126601","14.7571848169704","5.98556154520156","4.09314079275475","5.40176069954681","7.74264567579905","6.63844545647953","16.1027117424962","14.4531114060499","32.3977892307747","11.4505560048054","14.9541402608853","38.9448932030909","13.7164067920133","1.02785857373888","11.9457486448591","13.1461593314354","18.8415894769233","2.84566633376673","8.28117854828434","24.160113780108","10.1164694090146","8.95751467638721","8.3723788158744","14.0294146140309","8.22964264584481","5.30226734051318","5.99154257354965","6.33813181746585","13.2721096543502","-1.53825722926607","0.293494889306075","15.8494351404891","10.1068926905819","15.049386127875","18.9913692679384","19.2989927557264","",
"Belgium","BEL","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","1.31546869427707","1.66769194647125","3.02579670028426","4.64242655848624","5.10071293696286","4.08601493307359","3.19343093712661","2.62028927660229","4.02382631115428","4.5461957389723","5.35821772626441","6.31781928695352","6.80698658888768","12.1683396872217","12.8897231719682","7.57526298214688","7.47806026941859","4.42325000620166","4.50524128288701","4.12659695307862","5.13919698398449","7.57041625336508","5.61285004299388","5.43871760682222","4.62774206584977","2.79678093169639","1.68411075658794","2.16899005119461","4.79745736975174","2.81240381117954","2.87662434284985","3.42452475554731","3.99323167827308","2.09430484552642","1.22076961059385","0.476638370360092","0.757610794464298","1.80561940538095","0.598922533902964","2.01459208675317","1.98281811777269","1.63999808262712","1.85011626988718","1.91498861024229","2.08307333949642","2.26471618933262","1.93167835957435","1.90886937353629","0.781821174283053","1.70310444520605","2.29252172328242","2.20573642403188","1.41248965471736","0.840395740063599","1.12183851916816","1.89528913569444","1.98316343604859","1.71728236623039","1.85424076568934","1.59611667576401","2.69731875410955","6.6990376118661","5.50779310835875","1.88023621456681","",
"Benin","BEN","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","1.04143567396571","3.7805611339427","2.54904113694245","-0.363671991954803","2.05762046368159","1.13666559901029","0.141072430094951","3.27352495312587","3.4541955241058","5.04704693755775","1.57328377262995","5.31722607727731","4.82273994136393","14.9207099075904","14.2469357612696","14.0354300183818","5.17688681033776","12.3344589560374","13.0046858245988","10.1878198573196","7.4689482651344","16.148284015281","4.74620974295648","1.95358095750957","-4.8769817363666","-3.6041725823892","3.02845985259779","-0.610506907481181","2.2249344566343","2.17659692554506","0.756620150311463","3.0251344649124","2.37832182418319","35.0301127836754","15.0994519080227","6.90729366487193","3.66750917412438","5.23160474756106","48.3425433908146","4.3410556635676","1.97028558167254","3.55421325456054","3.06170412441227","0.769711003809874","4.29366413526147","2.09431707279076","0.390153238195737","6.43415220578032","2.53969206095486","0.880885670477909","3.73308304042652","7.69890807691425","1.39729839455183","-0.247782653882282","0.85150426118021","0.683591111274652","-0.367897725119164","0.670447614217636","-0.39755379308734","2.87803228859791","1.61872506665755","4.13899447875367","3.38561739537163","1.57105014461685","",
"Burkina Faso","BFA","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","1.90060824059779","2.01037157042501","5.14752475383766","1.8122165810679","-0.656072018182812","2.30311694399366","-4.41100840434797","-0.263878695591529","6.91315419325167","1.78342721857652","3.37747532556914","7.29664525500058","2.67785896654267","11.0147093853435","8.1761559668212","6.72550567482627","18.6619763309535","14.5323255016216","7.7535255123222","8.69436852095804","13.584619381945","9.0465164203043","5.40931696202939","6.50108528918713","0.757066710315698","-6.34567686458379","1.23732316838962","3.40855660018133","4.83162041216929","1.81001541960049","-3.96778074755804","0.227059619996879","-1.44183978328999","14.6389618841227","6.76956903796038","0.348705151128442","1.55619984983713","7.94031603070835","17.3908245064623","-0.819773185220825","3.96155291715017","3.05698609068348","1.48472881492427","0.0906485898375564","3.73938539728054","-0.662826822466556","2.49234918341701","9.15980043749074","2.40550487042772","3.77961872815705","6.73800480732596","5.82399948795916","-2.12917117768745","-0.620386925840478","-2.22395417919314","2.60429919226561","1.41629727998107","1.07396688968345","0.51290051556127","6.46559578788029","0.112863112943955","4.64258435284958","1.96648133830102","9.6697648715818","",
"Bangladesh","BGD","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","6.25748157867088","0.0222234958223737","5.16405902184019","-8.74322462414321","7.93170495657343","6.29618883406606","14.7919634515746","-5.7695843810757","11.8277158013198","0.510309048628059","2.96325493220053","4.40201965202864","61.4057832765998","44.5427168978939","80.5697564038071","-17.6304192925882","-3.21015592855957","25.6188855872458","12.5645059899639","17.55506709007","9.89469031190922","9.85581246334655","8.48775587837945","7.87556634908888","18.4951156996356","8.25440489427334","11.1196311686194","7.49583529710168","8.337973249846","6.53273529225868","2.72953199538708","2.58216189991052","0.155518172723973","3.96621631555998","7.14493870340395","19.1432131128285","3.80023220091314","4.73621256184072","3.78103773665002","3.44665934914798","3.26116013222439","3.8928674350377","5.81581664789621","4.5621363796936","4.58636070641845","5.87593581109938","6.47126010502515","7.86096609394262","6.76435468091874","7.14466302810841","7.85945085272492","8.16457367624635","7.17495343232414","5.66878852513904","5.87277704102323","27.8507377248339","5.04759758203714","5.80553876704575","3.65813755162172","3.84106338588026","4.1211747067957","5.04902187883131","6.89712404003441","6.88285460605802","",
"Bulgaria","BGR","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","2.82093836829875","1.9164728045925","-0.645271729639816","2.73674849638195","0.229177128441023","1.34548961532425","0.0638388002034702","-5.38974383656908","6.72968413426919","26.188000659147","226.537859885414","59.5786494277428","51.0910539201716","72.7049682652276","135.8750844364","62.9662438470336","913.21310015311","33.9510290858312","3.31913777398951","7.38083894948984","6.11773311783443","3.84837879785063","2.18941081230561","5.58155731511067","6.59425944948487","6.75647445241214","11.0514313966032","8.10345658500174","3.93801850221762","0.764129715708322","6.11283055997301","1.11217833557733","0.0719515940466948","1.3407827675987","2.94774637860091","3.32355972470152","4.81312099246594","4.23527642357686","5.28264487384197","4.3499123087899","6.96609669979689","15.9184542166472","7.99709612160662","7.20423703578159","",
